x;Emiliano Martínez;Arquero;x;x;Argentina;x
x;Gerónimo Rulli;Arquero;x;x;Argentina;x
x;Franco Armani;Arquero;x;x;Argentina;x
x;Gonzalo Montiel;Defensor;x;x;Argentina;x
x;Nicolás Otamendi;Defensor;x;x;Argentina;x
x;Nahuel Molina ;Defensor;x;x;Argentina;x
x;Cristian Romero;Defensor;x;x;Argentina;x
x;Germán Pezzella;Defensor;x;x;Argentina;x
x;Lisandro Martínez;Defensor;x;x;Argentina;x
x;Marcos Acuña;Defensor;x;x;Argentina;x
x;Nicolás Tagliafico;Defensor;x;x;Argentina;x
x;Juan Foyth;Defensor;x;x;Argentina;x
x;Leandro Paredes;Mediocampista;x;x;Argentina;x
x;Guido Rodriguez;Mediocampista;x;x;Argentina;x
x;Rodrigo De Paul;Mediocampista;x;x;Argentina;x
x;Exequiel Palacios;Mediocampista;x;x;Argentina;x
x;Alexis MacAllister;Mediocampista;x;x;Argentina;x
x;Enzo Fernández;Mediocampista;x;x;Argentina;x
x;Ángel Di María;Mediocampista;x;x;Argentina;x
x;Alejandro Gómez;Mediocampista;x;x;Argentina;x
x;Thiago Almada;Mediocampista;x;x;Argentina;x
x;Ángel Correa;Delantero;x;x;Argentina;x
x;Julián Álvarez;Delantero;x;x;Argentina;x
x;Lautaro Martínez;Delantero;x;x;Argentina;x
x;Lionel Messi;Delantero;x;x;Argentina;x
x;Paulo Dybala;Delantero;x;x;Argentina;x
x;DT Lionel Scaloni;DT;x;x;Argentina;x
x;Alisson ;Arquero;x;x;Brazil;x
x;Éderson ;Arquero;x;x;Brazil;x
x;Weverton;Arquero;x;x;Brazil;x
x;Dani Alves;Defensor;x;x;Brazil;x
x;Danilo;Defensor;x;x;Brazil;x
x;Alex Sandro;Defensor;x;x;Brazil;x
x;Alex Telles;Defensor;x;x;Brazil;x
x;Thiago Silva;Defensor;x;x;Brazil;x
x;Marquinhos;Defensor;x;x;Brazil;x
x;Éder Militao;Defensor;x;x;Brazil;x
x;Bremer;Defensor;x;x;Brazil;x
x;Fabinho;Volante;x;x;Brazil;x
x;Casemiro;Volante;x;x;Brazil;x
x;Fred;Volante;x;x;Brazil;x
x;Bruno Guimaraes;Volante;x;x;Brazil;x
x;Éverton Ribeiro;Volante;x;x;Brazil;x
x;Lucas Paquetá;Volante;x;x;Brazil;x
x;Neymar;Delantero;x;x;Brazil;x
x;Antony;Delantero;x;x;Brazil;x
x;Raphinha;Delantero;x;x;Brazil;x
x;Vinicius Júnior;Delantero;x;x;Brazil;x
x;Richarlison;Delantero;x;x;Brazil;x
x;Gabriel Jesus;Delantero;x;x;Brazil;x
x;Rodrygo;Delantero;x;x;Brazil;x
x;Pedro;Delantero;x;x;Brazil;x
x;Gabriel Martinelli;Delantero;x;x;Brazil;x
x;DT Tite;DT;x;x;Brazil;x
x;Moisés Ramírez;Portero;x;x;Ecuador;x
x;Alexander Domínguez;Portero;x;x;Ecuador;x
x;Hernán Galíndez;Portero;x;x;Ecuador;x
x;Piero Hincapié;Defensor;x;x;Ecuador;x
x;Robert Arboleda;Defensor;x;x;Ecuador;x
x;Pervis Estupiñán;Defensor;x;x;Ecuador;x
x;Angelo Preciado;Defensor;x;x;Ecuador;x
x;Jackson Porozo;Defensor;x;x;Ecuador;x
x;Xavier Arreaga;Defensor;x;x;Ecuador;x
x;Diego Palacios;Defensor;x;x;Ecuador;x
x;Félix Torres;Defensor;x;x;Ecuador;x
x;William Pacho;Defensor;x;x;Ecuador;x
x;Carlos Gruezo;Mediocampista;x;x;Ecuador;x
x;José Cifuentes;Mediocampista;x;x;Ecuador;x
x;Alan Franco;Mediocampista;x;x;Ecuador;x
x;Moisés Caicedo;Mediocampista;x;x;Ecuador;x
x;Ángel Mena;Mediocampista;x;x;Ecuador;x
x;Jeremy Sarmiento;Mediocampista;x;x;Ecuador;x
x;Jhegson Méndez;Mediocampista;x;x;Ecuador;x
x;Ayrton Preciado;Mediocampista;x;x;Ecuador;x
x;Gonzalo Plata;Mediocampista;x;x;Ecuador;x
x;Romario Ibarra;Mediocampista;x;x;Ecuador;x
x;Djorkaeff Reasco;Delantero;x;x;Ecuador;x
x;Kevin Rodríguez;Delantero;x;x;Ecuador;x
x;Michael Estrada;Delantero;x;x;Ecuador;x
x;Enner Valencia;Delantero;x;x;Ecuador;x
x;DT Gustavo Alfaro;DT;x;x;Ecuador;x
x;Eiji Kawashima;Portero;x;x;Japan;x
x;Shuichi Gonda;Portero;x;x;Japan;x
x;Daniel Schmidt;Portero;x;x;Japan;x
x;Yuto Nagatomo;Defensor;x;x;Japan;x
x;Maya Yoshida;Defensor;x;x;Japan;x
x;Hiroki Sakai;Defensor;x;x;Japan;x
x;Shogo Taniguchi;Defensor;x;x;Japan;x
x;Miki Yamane;Defensor;x;x;Japan;x
x;Ko Itakura;Defensor;x;x;Japan;x
x;Hiroki Ito ;Defensor;x;x;Japan;x
x;Takehiro Tomiyasu;Defensor;x;x;Japan;x
x;Gaku Shibasaki;Volante;x;x;Japan;x
x;Wataru Endo ;Volante;x;x;Japan;x
x;Junya Ito;Volante;x;x;Japan;x
x;Ritsu Doan;Volante;x;x;Japan;x
x;Takumi Minamino;Volante;x;x;Japan;x
x;Hidemasa Morita;Volante;x;x;Japan;x
x;Daichi Kamada;Volante;x;x;Japan;x
x;Yuki Soma;Volante;x;x;Japan;x
x;Kaoru Mitoma;Volante;x;x;Japan;x
x;Ao Tanaka;Volante;x;x;Japan;x
x;Takefusa Kubo;Volante;x;x;Japan;x
